column,source_load,filled_cells
ADBDC_SAS7BDAT_TR01PG1,BASE_ROW,784
ADBDC_SAS7BDAT_TR01PG1N,BASE_ROW,784
ADBDC_SAS7BDAT_TR02PG1,BASE_ROW,300
ADBDC_SAS7BDAT_TR02PG1N,BASE_ROW,300
ADBDC_SAS7BDAT_TRT03P,BASE_ROW,783
ADBDC_SAS7BDAT_TRT03PN,BASE_ROW,783
ADBDC_SAS7BDAT_PARAMN,BASE_ROW,784
ADBDC_SAS7BDAT_PARAM,BASE_ROW,784
ADBDC_SAS7BDAT_ASTDT,BASE_ROW,784
ADBDC_SAS7BDAT_AENDT,BASE_ROW,784
ADBDC_SAS7BDAT_ASTDTF,BASE_ROW,378
ADBDC_SAS7BDAT_AVALCAT1,BASE_ROW,784
ADBDC_SAS7BDAT_AVALCAT4,BASE_ROW,783
ADBDC_SAS7BDAT_AVALCAT2,BASE_ROW,784
ADBDC_SAS7BDAT_AVALCAT3,BASE_ROW,784
ADBDC_SAS7BDAT_AVALCAT5,BASE_ROW,522
ADBDC_SAS7BDAT_AVALCAT6,BASE_ROW,522
ADBDC_SAS7BDAT_AVALCAT7,BASE_ROW,522
ADBDC_SAS7BDAT_SAFW8FL,BASE_ROW,784
ADBDC_SAS7BDAT_RANDFL,BASE_ROW,784
ADBDC_SAS7BDAT_COMPLFL,BASE_ROW,784
ADBDC_SAS7BDAT_SAFFL,BASE_ROW,784
ADBDC_SAS7BDAT_ENEXTFL,BASE_ROW,784
ADBDC_SAS7BDAT_ENTERMFL,BASE_ROW,784
ADBDC_SAS7BDAT_RAND2FL,BASE_ROW,784
ADBDC_SAS7BDAT_SAF2FL,BASE_ROW,784
ADBDC_SAS7BDAT_SRCDOM,BASE_ROW,784
ADBDC_SAS7BDAT_SRCSEQ,BASE_ROW,784
ADBDC_SAS7BDAT_SRCVAR,BASE_ROW,784
ADBDC_SAS7BDAT_AGE,BASE_ROW,784
ADBDC_SAS7BDAT_AGEU,BASE_ROW,784
ADBDC_SAS7BDAT_SEX,BASE_ROW,784
ADBDC_SAS7BDAT_COUNTRY,BASE_ROW,784
ADBDC_SAS7BDAT_ETHNIC,BASE_ROW,784
ADBDC_SAS7BDAT_RACE,BASE_ROW,784
ADBDC_SAS7BDAT_RACEGR1,BASE_ROW,783
ADBDC_SAS7BDAT_RACEGR1N,BASE_ROW,783
ADBDC_SAS7BDAT_REGION,BASE_ROW,783
ADBDC_SAS7BDAT_SITEID,BASE_ROW,784
ADBDC_SAS7BDAT_SUBJID,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_ANTITNF_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_ATNFVEDO_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_B_BCS_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_B_BCSM_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_B_BDP_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_B_BDPM_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_B6MP_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_BALLCORT_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_BAMINO_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_BAZA_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_BCMED_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_BCORT_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_BCORTM_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_BIMM_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_BIOEXPER_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_BIOFAIL_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_BIONAIVE_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_BMETHO_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_CALPRMBL_AVAL,BASE_ROW,737
ADBDC_SAS7BDAT_PARAMCD_CALPROBL_AVAL,BASE_ROW,726
ADBDC_SAS7BDAT_PARAMCD_CRPBL_AVAL,BASE_ROW,776
ADBDC_SAS7BDAT_PARAMCD_CRPMBL_AVAL,BASE_ROW,779
ADBDC_SAS7BDAT_PARAMCD_DEPECORT_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_DISDURN_AVAL,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_DISEXTBL_AVALC,BASE_ROW,781
ADBDC_SAS7BDAT_PARAMCD_DISSEVBL_AVALC,BASE_ROW,781
ADBDC_SAS7BDAT_PARAMCD_ENDOBL_AVAL,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_EXTINTBL_AVALC,BASE_ROW,784
ADBDC_SAS7BDAT_PARAMCD_HEIGHTBL_AVAL,BASE_ROW,784
